iter	Passed	Remaining
0	232	232451
1	315	157290
2	482	160282
3	660	164485
4	744	148199
5	811	134490
6	908	128820
7	982	121872
8	1062	116963
9	1161	115003
10	1258	113184
11	1354	111506
12	1521	115545
13	1809	127441
14	2109	138534
15	2239	137743
16	2571	148690
17	2727	148784
18	3004	155128
19	3335	163463
20	3472	161870
21	3595	159838
22	3739	158868
23	3912	159105
24	4020	156796
25	4100	153629
26	4198	151308
27	4265	148078
28	4349	145644
29	4416	142785
30	4498	140602
31	4675	141429
32	4824	141376
33	4945	140511
34	5050	139257
35	5135	137529
36	5241	136416
37	5330	134953
38	5411	133351
39	5529	132709
40	5631	131728
41	5773	131693
42	5888	131046
43	5975	129825
44	6060	128611
45	6144	127438
46	6218	126099
47	6294	124835
48	6358	123411
49	6423	122049
50	6511	121163
51	6604	120406
52	6736	120370
53	6878	120499
54	7027	120750
55	7139	120359
56	7443	123142
57	7676	124682
58	7768	123896
59	7890	123618
60	7973	122746
61	8060	121945
62	8145	121150
63	8222	120251
64	8304	119450
65	8384	118657
66	8464	117869
67	8541	117070
68	8624	116367
69	8710	115724
70	8802	115174
71	8911	114859
72	9016	114499
73	9111	114013
74	9211	113612
75	9292	112979
76	9392	112582
77	9480	112059
78	9565	111521
79	9676	111279
80	9790	111075
81	9912	110974
82	10041	110941
83	10138	110557
84	10200	109805
85	10256	109005
86	10303	108125
87	10345	107214
88	10393	106383
89	10442	105589
90	10489	104774
91	10537	103999
92	10604	103419
93	10657	102722
94	10709	102017
95	10758	101304
96	10813	100669
97	10859	99955
98	10905	99249
99	10961	98653
100	11004	97949
101	11051	97297
102	11102	96685
103	11154	96096
104	11200	95473
105	11245	94843
106	11286	94193
107	11330	93578
108	11368	92930
109	11414	92351
110	11459	91781
111	11501	91188
112	11546	90631
113	11611	90243
114	11663	89759
115	11720	89318
116	11783	88932
117	11841	88513
118	11908	88165
119	11972	87795
120	12031	87402
121	12098	87072
122	12151	86640
123	12194	86148
124	12289	86024
125	12379	85869
126	12447	85562
127	12555	85534
128	12625	85244
129	12723	85152
130	12869	85369
131	13024	85645
132	13228	86231
133	13320	86085
134	13402	85875
135	13470	85579
136	13520	85171
137	13585	84861
138	13643	84508
139	13716	84256
140	13804	84097
141	13868	83799
142	13957	83648
143	14030	83405
144	14091	83094
145	14171	82892
146	14235	82601
147	14295	82297
148	14353	81980
149	14422	81725
150	14498	81516
151	14567	81273
152	14639	81040
153	14689	80694
154	14744	80383
155	14789	80016
156	14862	79803
157	14906	79439
158	14957	79115
159	15015	78832
160	15078	78574
161	15129	78262
162	15206	78085
163	15277	77878
164	15327	77564
165	15378	77265
166	15420	76918
167	15470	76613
168	15528	76353
169	15594	76136
170	15642	75833
171	15711	75636
172	15760	75340
173	15811	75059
174	15871	74824
175	15928	74574
176	15970	74258
177	16048	74110
178	16147	74061
179	16263	74087
180	16349	73977
181	16444	73912
182	16509	73705
183	16576	73511
184	16653	73366
185	16755	73328
186	16812	73094
187	16860	72822
188	16969	72815
189	17162	73167
190	17462	73962
191	17619	74150
192	17691	73972
193	17776	73855
194	17843	73663
195	17924	73527
196	17986	73314
197	18034	73047
198	18081	72781
199	18139	72556
200	18192	72318
201	18255	72116
202	18306	71873
203	18362	71651
204	18416	71420
205	18469	71186
206	18520	70949
207	18587	70776
208	18650	70586
209	18717	70413
210	18771	70193
211	18829	69990
212	18892	69804
213	18968	69668
214	19037	69510
215	19097	69317
216	19147	69089
217	19206	68895
218	19260	68687
219	19318	68491
220	19365	68260
221	19417	68047
